,coef
intercept_,144271.97558924905
mape,3.1
R2,0.8276177214230137
search_S,0.6680525913834572
print_S,0.4408427905291319
ooh_S,0.3152948021888733
tv_S,0.301263689994812
competitor_sales_B,0.2522878646850586
facebook_S,0.14523941278457642
