,coef
intercept_,566112.3227203365
mape,5.15
competitor_sales_B,0.999
facebook_S,0.919081215
R2,0.7615382428570963
search_S,0.642
tv_S,0.5549368
print_S,0.40691320200000003
ooh_S,0.34725022
