,coef
intercept_,566112.3227203365
mape,17.11
competitor_sales_B,0.999
facebook_S,0.919081215
search_S,0.642
tv_S,0.5549368
print_S,0.40691320200000003
ooh_S,0.34725022
R2,-3.157432404630974
