,coef
mape,768.16
competitor_sales_B,6.999
print_S,1.137895002
facebook_S,0.919081215
search_S,0.642
tv_S,0.5549368
ooh_S,0.34725022
R2,-8289.463840110122
intercept_,-34562455.93424589
