,coef
intercept_,566112.3227203365
mape,5.15
facebook_S,0.8911432803599999
R2,0.7615382428570963
search_S,0.440859
print_S,0.38413337250600005
ooh_S,0.33773444381
tv_S,0.33596776640000003
competitor_sales_B,0.145234
